Accounting,55199,91185
Agriculture,70437,98157
Architecture,65056,103390
Biochemistry,63028,92340
Biology,57219,117382
Biomedical Engineering,68003,122305
Biomedical Sciences,59780,114590
Business Administration and Management,63420,96947
Chemical Engineering,77971,104189
Commerce,52134,82345
Communication,46827,68276
Computer Science,58954,89186
Criminal Justice,51129,64199
Econometrics,54309,69870
Economics,70885,139026
Education,38696,49819
Electrical Engineering,59715,95379
Engineering,60238,104971
Finance,76194,148404
Information Technology,58954,89007
International Relations and Affairs,57803,78650
Marketing,56908,74700
Mathematics,57721,95354
Mechanical Engineering,61905,94140
Neuroscience,76854,98227
Nursing,55395,68575
Physics,73268,111625
Political Science,50764,92245
Psychology,50356,74232
Public Health,80858,74536
Public Policy,81265,113935
Social Sciences,51907,67800
Speech Communication,46708,62030
Visual and Performing Arts,43443,54560
