Princeton University,Princeton,NJ
Harvard University,Cambridge,MA
University of Chicago,Chicago,IL
Yale University,New Haven,CT
Columbia University,New York,NY
Massachusetts Institute of Technology,Cambridge,MA
Stanford University,Stanford,CA
University of Pennsylvania,Philadelphia,PA
Duke University,Durham,NC
California Institute of Technology,Pasadena,CA
Darthmouth College,Hanover,NH
Johns Hopkins University,Baltimore,MD
Northwestern University,Evanston,IL
Brown University,Providence,RI
Cornell University,Ithaca,NY
Rice University,Houston,TX
Vanderbilt University,Nashville,TN
University of Notre Dame,South Bend,IN
Washington University in St. Louis,St. Louis,MO
Georgetown University,Washington,DC
Emory University,Atlanta,GA
University of California at Berkeley,Berkeley,CA
University of California at Los Angeles,Los Angeles,CA
University of Southern California,Los Angeles,CA
Carnegie Mellon University,Pittsburgh,PA
University of Virginia,Charlotesville,VA
Wake Forest University,Winston-Salem,NC
University of Michigan at Ann Arbor,Ann Arbor,MI
Tufts University,Medford,MA
New York University,New York,NY
University of North Carolina at Chapel Hill,Chapel Hill,NC
Boston College,Chestnut Hill,MA
College of William and Mary,Williamsburg,VA
Brandeis University,Waltham,MA
Georgia Institute of Technology,Atlanta,GA
University of Rochester,Rochester,NY
Boston University,Boston,MA
Case Western Reserve University,Cleveland,OH
University of California at Santa Barbara,Santa Barbara,CA
Northeastern University,Boston,MA
Tulane University,New Orleans,LA
Rensselaer Polytechnic Institute,Troy,NY
University of California at Irvine,Irvine,CA
University of California at San Diego,San Diego,CA
University of Florida,Gainesville,FL
Lehigh University,Bethlehem,PA
Pepperdine University,Malibu,CA
University of California at Davis,Davis,CA
University of Miami,Coral Gables,FL
University of Wisconsin at Madison,Madison,WI
Villanova University,Villanova,PA
Pennsylvania State University at University Park,University Park,PA
University of Illinois at Urbana-Champaign,Champaign,IL
Ohio State University at Columbus,Columbus,OH
University of Georgia,Athens,GA
George Washington University,Washington,DC
Purdue University at West Lafayette,West Lafayette,IN
University of Connecticut,Storrs,CT
University of Texas at Austin,Austin,TX
University of Washington,Seattle,WA
Brigham Young University at Provo,Provo,UT
Fordham University,New York,NY
Southern Methodist University,Dallas,TX
Syracuse University,Syracuse,NY
University of Maryland at College Park,College Park,MD
Worcester Polytechnic Institute,Worcester,MA
Clemson University,Clemson,SC
University of Pittsburgh,Pittsburgh,PA
American University,Washington,DC
Rutgers University at New Brunswick,Piscataway,NJ
Stevens Institute of Technology,Hoboken,NJ
Texas A&M University at College Station,College Station,TX
University of Minnesota at Twin Cities,Minneapolis,MN
Virginia Tech,Blacksburg,VA
Baylor University,Waco,TX
Colorado School of Mines,Golden,CO
University of Massachusetts at Amherst,Amherst,MA
Miami University at Oxford,Oxford,OH
Texas Christian University,Fort Worth,TX
University of Iowa,Iowa City,IA
Clark University,Worcester,MA
Florida State University,Tallahassee,FL
Michigan State University,East Lansing,MI
North Carolina State University at Raleigh,Raleigh,NC
University of California at Santa Cruz,Santa Cruz,CA
University of Delaware,Newark,DE
Binghamton University SUNY,Binghamton,NY
University of Denver,Denver,CO
University of Tulsa,Tulsa,OK
Indiana University at Bloomington,Bloomington,IN
Marquette University,Milwaukee,WI
University of Colorado at Boulder,Boulder,CO
University of San Diego,San Diego,CA
Drexel University,Philadelphia,PA
Saint Louis University,St. Louis,MO
Yeshiva University,New York,NY
Rochester Institute of Technology,Rochester,NY
Stony Brook University SUNY,Stony Brook,NY
SUNY College of Environmental Science and Forestry,Syracuse,NY
University at Buffalo SUNY,Buffalo,NY
University of Oklahoma,Norman,OK
University of Vermont,Burlington,VT
